bin_lo,bin_hi,count,mean_conf,mean_acc,gap
0.0,0.1,0,,,
0.1,0.2,2814,0.14479854702949524,0.15493958777540867,0.010141040745913432
0.2,0.30000000000000004,2013,0.2503372132778168,0.2826626924987581,0.03232547922094131
0.30000000000000004,0.4,2211,0.35023948550224304,0.4427860696517413,0.09254658414949823
0.4,0.5,3238,0.4535101354122162,0.5827671402100062,0.12925700479779
0.5,0.6000000000000001,6180,0.5558644533157349,0.706957928802589,0.15109347548685415
0.6000000000000001,0.7000000000000001,12767,0.6552747488021851,0.8254092582439101,0.17013450944172503
0.7000000000000001,0.8,20073,0.7510887980461121,0.9092313057340706,0.15814250768795857
0.8,0.9,18557,0.8519729375839233,0.976774263081317,0.12480132549739364
0.9,1.0,6218,0.9121976494789124,0.9990350595046639,0.08683741002575152
