split,metric,n_seeds,mean,std,min,max,median
val,precision,0,,,,,
val,recall,0,,,,,
val,mAP50,0,,,,,
val,mAP50-95,0,,,,,
test,precision,0,,,,,
test,recall,0,,,,,
test,mAP50,0,,,,,
test,mAP50-95,0,,,,,
test,AP_small,1,0.644477858318374,0.0,0.644477858318374,0.644477858318374,0.644477858318374
test,AP_medium,1,0.7238666892716588,0.0,0.7238666892716588,0.7238666892716588,0.7238666892716588
test,AP_large,1,-1.0,0.0,-1.0,-1.0,-1.0
test,AR_1,1,0.027178963914895965,0.0,0.027178963914895965,0.027178963914895965,0.027178963914895965
test,AR_10,1,0.2525584986831764,0.0,0.2525584986831764,0.2525584986831764,0.2525584986831764
test,AR_100,1,0.7099968285923086,0.0,0.7099968285923086,0.7099968285923086,0.7099968285923086
test,AR_small,1,0.7098025094867463,0.0,0.7098025094867463,0.7098025094867463,0.7098025094867463
test,AR_medium,1,0.7545741324921136,0.0,0.7545741324921136,0.7545741324921136,0.7545741324921136
test,AR_large,1,-1.0,0.0,-1.0,-1.0,-1.0
